Sample;Treatment;Spray;Replicate;Time;Name
207;No A;Mg;15;t2;No A_Mg_15_t2
208;No A;Mg;16;t2;No A_Mg_16_t2
209;No A;A;1;t2;No A_A_1_t2
210;No A;A;2;t2;No A_A_2_t2
211;No A;A;3;t2;No A_A_3_t2
212;No A;A;4;t2;No A_A_4_t2
213;No A;A;5;t2;No A_A_5_t2
214;No A;A;6;t2;No A_A_6_t2
215;No A;A;7;t2;No A_A_7_t2
216;No A;A;8;t2;No A_A_8_t2
217;No A;A;9;t2;No A_A_9_t2
218;No A;A;10;t2;No A_A_10_t2
219;No A;A;11;t2;No A_A_11_t2
220;No A;A;12;t2;No A_A_12_t2
221;No A;A;13;t2;No A_A_13_t2
222;No A;A;14;t2;No A_A_14_t2
223;No A;A;15;t2;No A_A_15_t2
224;No A;A;16;t2;No A_A_16_t2
225;No B;Mg;1;t2;No B_Mg_1_t2
226;No B;Mg;2;t2;No B_Mg_2_t2
227;No B;Mg;3;t2;No B_Mg_3_t2
228;No B;Mg;4;t2;No B_Mg_4_t2
229;No B;Mg;5;t2;No B_Mg_5_t2
230;No B;Mg;6;t2;No B_Mg_6_t2
231;No B;Mg;7;t2;No B_Mg_7_t2
232;No B;Mg;8;t2;No B_Mg_8_t2
233;No B;Mg;9;t2;No B_Mg_9_t2
234;No B;Mg;10;t2;No B_Mg_10_t2
235;No B;Mg;11;t2;No B_Mg_11_t2
236;No B;Mg;12;t2;No B_Mg_12_t2
237;No B;Mg;13;t2;No B_Mg_13_t2
238;No B;Mg;14;t2;No B_Mg_14_t2
240;No B;Mg;16;t2;No B_Mg_16_t2
241;No B;B;1;t2;No B_B_1_t2
242;No B;B;2;t2;No B_B_2_t2
243;No B;B;3;t2;No B_B_3_t2
244;No B;B;4;t2;No B_B_4_t2
245;No B;B;5;t2;No B_B_5_t2
246;No B;B;6;t2;No B_B_6_t2
247;No B;B;7;t2;No B_B_7_t2
248;No B;B;8;t2;No B_B_8_t2
249;No B;B;9;t2;No B_B_9_t2
250;No B;B;10;t2;No B_B_10_t2
251;No B;B;11;t2;No B_B_11_t2
252;No B;B;12;t2;No B_B_12_t2
253;No B;B;13;t2;No B_B_13_t2
254;No B;B;14;t2;No B_B_14_t2
255;No B;B;15;t2;No B_B_15_t2
256;No B;B;16;t2;No B_B_16_t2
257;No G;Mg;1;t2;No G_Mg_1_t2
258;No G;Mg;2;t2;No G_Mg_2_t2
259;No G;Mg;3;t2;No G_Mg_3_t2
260;No G;Mg;4;t2;No G_Mg_4_t2
261;No G;Mg;5;t2;No G_Mg_5_t2
262;No G;Mg;6;t2;No G_Mg_6_t2
263;No G;Mg;7;t2;No G_Mg_7_t2
264;No G;Mg;8;t2;No G_Mg_8_t2
265;No G;Mg;9;t2;No G_Mg_9_t2
266;No G;Mg;10;t2;No G_Mg_10_t2
267;No G;Mg;11;t2;No G_Mg_11_t2
268;No G;Mg;12;t2;No G_Mg_12_t2
269;No G;Mg;13;t2;No G_Mg_13_t2
270;No G;Mg;14;t2;No G_Mg_14_t2
271;No G;Mg;15;t2;No G_Mg_15_t2
272;No G;Mg;16;t2;No G_Mg_16_t2
273;No G;G;1;t2;No G_G_1_t2
275;No G;G;3;t2;No G_G_3_t2
276;No G;G;4;t2;No G_G_4_t2
277;No G;G;5;t2;No G_G_5_t2
278;No G;G;6;t2;No G_G_6_t2
279;No G;G;7;t2;No G_G_7_t2
280;No G;G;8;t2;No G_G_8_t2
281;No G;G;9;t2;No G_G_9_t2
282;No G;G;10;t2;No G_G_10_t2
283;No G;G;11;t2;No G_G_11_t2
284;No G;G;12;t2;No G_G_12_t2
285;No G;G;13;t2;No G_G_13_t2
286;No G;G;14;t2;No G_G_14_t2
287;No G;G;15;t2;No G_G_15_t2
288;No G;G;16;t2;No G_G_16_t2
289;No P;Mg;1;t2;No P_Mg_1_t2
290;No P;Mg;2;t2;No P_Mg_2_t2
291;No P;Mg;3;t2;No P_Mg_3_t2
292;No P;Mg;4;t2;No P_Mg_4_t2
293;No P;Mg;5;t2;No P_Mg_5_t2
294;No P;Mg;6;t2;No P_Mg_6_t2
295;No P;Mg;7;t2;No P_Mg_7_t2
296;No P;Mg;8;t2;No P_Mg_8_t2
297;No P;Mg;9;t2;No P_Mg_9_t2
298;No P;Mg;10;t2;No P_Mg_10_t2
299;No P;Mg;11;t2;No P_Mg_11_t2
300;No P;Mg;12;t2;No P_Mg_12_t2
301;No P;Mg;13;t2;No P_Mg_13_t2
302;No P;Mg;14;t2;No P_Mg_14_t2
303;No P;Mg;15;t2;No P_Mg_15_t2
304;No P;Mg;16;t2;No P_Mg_16_t2
305;No P;P;1;t2;No P_P_1_t2
306;No P;P;2;t2;No P_P_2_t2
307;No P;P;3;t2;No P_P_3_t2
308;No P;P;4;t2;No P_P_4_t2
309;No P;P;5;t2;No P_P_5_t2
310;No P;P;6;t2;No P_P_6_t2
311;No P;P;7;t2;No P_P_7_t2
313;No P;P;9;t2;No P_P_9_t2
314;No P;P;10;t2;No P_P_10_t2
315;No P;P;11;t2;No P_P_11_t2
316;No P;P;12;t2;No P_P_12_t2
317;No P;P;13;t2;No P_P_13_t2
318;No P;P;14;t2;No P_P_14_t2
319;No P;P;15;t2;No P_P_15_t2
320;No P;P;16;t2;No P_P_16_t2
321;ALL;Inoc;1;t0;ALL_Inoc_1_t0
322;ALL;Inoc;2;t0;ALL_Inoc_2_t0
323;ALL;Inoc;3;t0;ALL_Inoc_3_t0
324;No A;Inoc;1;t0;No A_Inoc_1_t0
325;No A;Inoc;2;t0;No A_Inoc_2_t0
326;No A;Inoc;3;t0;No A_Inoc_3_t0
327;No B;Inoc;1;t0;No B_Inoc_1_t0
328;No B;Inoc;2;t0;No B_Inoc_2_t0
329;No B;Inoc;3;t0;No B_Inoc_3_t0
330;No G;Inoc;1;t0;No G_Inoc_1_t0
331;No G;Inoc;2;t0;No G_Inoc_2_t0
332;No G;Inoc;3;t0;No G_Inoc_3_t0
333;No P;Inoc;1;t0;No P_Inoc_1_t0
334;No P;Inoc;2;t0;No P_Inoc_2_t0
335;No P;Inoc;3;t0;No P_Inoc_3_t0
336;A;Inoc;1;t1;A_Inoc_1_t1
337;A;Inoc;2;t1;A_Inoc_2_t1
338;A;Inoc;3;t1;A_Inoc_3_t1
339;B;Inoc;1;t1;B_Inoc_1_t1
340;B;Inoc;2;t1;B_Inoc_2_t1
341;B;Inoc;3;t1;B_Inoc_3_t1
342;G;Inoc;1;t1;G_Inoc_1_t1
343;G;Inoc;2;t1;G_Inoc_2_t1
344;G;Inoc;3;t1;G_Inoc_3_t1
345;P;Inoc;1;t1;P_Inoc_1_t1
346;P;Inoc;2;t1;P_Inoc_2_t1
347;P;Inoc;3;t1;P_Inoc_3_t1
